condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
axi,project_count,1,claude-sonnet-5,2026-09-11T13:49:13.047Z,true,64628,56445,121,0,0.046196,4.656,2,1,0
cli,project_count,1,claude-sonnet-5,2026-09-11T13:49:16.354Z,true,98272,94864,282,0,0.0363908,8.25,3,2,0
axi,project_count,2,claude-sonnet-5,2026-09-11T13:49:19.358Z,true,64564,61744,118,0,0.0257738,3.956,2,1,0
cli,project_count,2,claude-sonnet-5,2026-09-11T13:49:26.003Z,true,98162,94805,259,0,0.03594,5.624,3,2,0
axi,project_count,3,claude-sonnet-5,2026-09-11T13:49:27.526Z,true,64519,61744,74,0,0.0251538,5.169,2,1,0
cli,project_count,3,claude-sonnet-5,2026-09-11T13:49:34.834Z,true,98079,94800,186,0,0.034897,6.053,3,2,0
axi,project_tools,1,claude-sonnet-5,2026-09-11T13:49:34.885Z,true,64216,61779,220,0,0.025301800000000003,5.059,2,1,0
axi,project_tools,2,claude-sonnet-5,2026-09-11T13:49:42.534Z,true,64186,61779,235,0,0.0253368,5.105,2,1,0
cli,project_tools,1,claude-sonnet-5,2026-09-11T13:49:43.331Z,true,64913,61753,163,0,0.0276386,5.929,2,1,0
axi,project_tools,3,claude-sonnet-5,2026-09-11T13:49:50.794Z,true,64128,59960,119,0,0.030857000000000002,5.72,2,1,0
cli,project_tools,2,claude-sonnet-5,2026-09-11T13:49:51.037Z,true,64931,61753,189,0,0.027955600000000004,4.778,2,1,0
axi,people_on_project,1,claude-sonnet-5,2026-09-11T13:49:59.282Z,true,64082,61747,180,0,0.0244764,6.065,2,1,0
cli,project_tools,3,claude-sonnet-5,2026-09-11T13:49:59.929Z,true,64936,61753,196,0,0.0280606,5.542,2,1,0
cli,people_on_project,1,claude-sonnet-5,2026-09-11T13:50:06.568Z,true,64052,61721,98,0,0.0236402,4.392,2,1,0
axi,people_on_project,2,claude-sonnet-5,2026-09-11T13:50:10.011Z,true,64061,61747,154,0,0.0241374,5.933,2,1,0
cli,people_on_project,2,claude-sonnet-5,2026-09-11T13:50:12.985Z,true,64107,61721,150,0,0.0243802,3.91,2,1,0
axi,people_on_project,3,claude-sonnet-5,2026-09-11T13:50:16.981Z,true,64065,61747,163,0,0.024243400000000002,4.051,2,1,0
cli,people_on_project,3,claude-sonnet-5,2026-09-11T13:50:24.984Z,true,132950,128721,377,0,0.047414200000000004,9.623,4,3,0
cli,todolist_progress,1,claude-sonnet-5,2026-09-11T13:50:34.527Z,true,65584,61740,254,0,0.031287999999999996,5.436,2,1,0
axi,todolist_progress,1,claude-sonnet-5,2026-09-11T13:50:34.652Z,true,165256,161339,569,0,0.0546378,10.565,5,4,0
cli,todolist_progress,2,claude-sonnet-5,2026-09-11T13:50:46.118Z,true,99279,95369,412,0,0.0398588,8.433,3,2,0
axi,todolist_progress,2,claude-sonnet-5,2026-09-11T13:50:46.865Z,true,165154,161260,546,0,0.05430000000000001,9.834,5,4,0
axi,todolist_progress,3,claude-sonnet-5,2026-09-11T13:50:53.947Z,true,64147,61766,171,0,0.0246112,4.729,2,1,0
cli,todolist_progress,3,claude-sonnet-5,2026-09-11T13:50:54.987Z,true,65518,61740,128,0,0.029764000000000002,5.924,2,1,0
cli,triage_card_count,1,claude-sonnet-5,2026-09-11T13:51:04.250Z,true,139569,127634,372,0,0.0780048,6.822,4,3,0
axi,triage_card_count,1,claude-sonnet-5,2026-09-11T13:51:06.822Z,true,130758,127371,251,0,0.0425102,10.277,4,3,0
axi,triage_card_count,2,claude-sonnet-5,2026-09-11T13:51:16.233Z,true,130760,127364,258,0,0.0426498,7.174,4,3,0
axi,triage_card_count,3,claude-sonnet-5,2026-09-11T13:51:26.865Z,true,130991,127492,363,0,0.0441374,8.369,4,3,0
cli,triage_card_count,2,claude-sonnet-5,2026-09-11T13:51:33.073Z,true,355778,341381,1406,0,0.1409222,26.543,9,8,0
axi,message_last_commenter,1,claude-sonnet-5,2026-09-11T13:51:44.363Z,true,168511,161936,673,0,0.06639620000000002,14.985,5,4,0
cli,triage_card_count,3,claude-sonnet-5,2026-09-11T13:51:45.547Z,true,172394,160312,344,0,0.0848044,7.318,5,4,0
axi,message_last_commenter,2,claude-sonnet-5,2026-09-11T13:52:00.245Z,true,168451,161895,695,0,0.066537,13.217,5,4,0
cli,message_last_commenter,1,claude-sonnet-5,2026-09-11T13:52:06.920Z,true,239947,233495,1048,0,0.08396300000000001,18.454,7,6,0
axi,message_last_commenter,3,claude-sonnet-5,2026-09-11T13:52:12.184Z,true,131656,127314,428,0,0.0480988,8.978,4,3,0
axi,my_assignments,1,claude-sonnet-5,2026-09-11T13:52:21.518Z,true,130603,127154,300,0,0.04323780000000001,6.951,4,3,0
cli,message_last_commenter,2,claude-sonnet-5,2026-09-11T13:52:25.512Z,true,209884,190688,708,0,0.1230006,14.498,5,4,0
axi,my_assignments,2,claude-sonnet-5,2026-09-11T13:52:33.524Z,true,130593,127146,319,0,0.0434282,9.143,4,3,0
